second,mode,input_ug,corrected_ug,offset_ug,state,automatic_rebuild_count
630,STATIC,-81096,-81096,0,4,0
631,STATIC,-84475,-84475,0,4,0
632,STATIC,-78280,-78280,0,4,0
633,STATIC,-83912,-83912,0,4,0
634,STATIC,-75464,-75464,0,4,0
635,STATIC,-70396,-70396,0,4,0
636,STATIC,-65327,-65327,0,4,0
637,STATIC,-66454,-66454,0,4,0
638,STATIC,-69270,-69270,0,4,0
639,STATIC,-74901,-74901,0,4,0
640,STATIC,-73212,-73212,0,4,0
641,STATIC,-71522,-71522,0,4,0
642,STATIC,-72086,-72086,0,4,0
643,STATIC,-77717,-77717,0,4,0
644,STATIC,-79406,-79406,0,4,0
645,STATIC,-81660,-81660,0,4,0
646,STATIC,-75464,-75464,0,4,0
647,STATIC,-81659,-81659,0,4,0
648,STATIC,-81096,-81096,0,4,0
649,STATIC,-87854,-87854,0,4,0
650,STATIC,-88417,-88417,0,4,0
651,STATIC,-89544,-89544,0,4,0
652,STATIC,-91233,-91233,0,4,0
